NBI DATA - Western Washington,,,,,,,ADT parameter,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"move to left, filter by < than",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHECK FILTERS IN THESE CELLS,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
HIDE COLUMNS THAT ARE NOT BLUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In OP?,In T2T?,(placeholder column),Structure ID ,Bridge #,Lat. (Decimal Degrees),Long. (Decimal Degrees),Special Single Span?,ADT > (parameter)?,In National Network?,STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
0,0,,        ,#N/A,47.98571667,-122.2271222,0,1,0,53,        1WA000V,1,6,8,0,0,0,61,22640,'EAST WATERWAY',,'SPRUANCE BLVD.','NAVAL STATION EVERETT  WA',99.99,0,0,,,47590858,122133764,0,3,73,73,9,1995,4,0,50,2016,0,15.2,0,0,0,1,1,1,N,5,N,0,0,A,1,5,5,1,0,0,36,0,15.2,5.5,207.2,0,0,15.2,15.8,99.99,N,0,N,0,0,6,7,7,6,N,0,36.2,0,32.6,7,3,N,5,9,8,38,1,207.2,820,24,N  ,N  ,N  ,,,,25,70,32,2020,,,               ,0,N,2,,0,0,0,2,6,8,8,10,0,,Y,5,60,2038,,Y,73,F,6,3273.76
0,0,,        ,#N/A,47.697975,-122.6195,0,1,0,53,        1WA0025,1,6,8,0,0,0,35,35660,'LAGOON',,'BUSHNELL DRIVE','NUW CENTER KEYPORT',99.99,0,0,,,47415271,122371020,15,3,73,73,9,1933,2,0,10,2016,0,5.5,0,0,0,0,N,N,N,4,N,0,0,P,1,9,3,2,0,0,4,0,5.5,4.9,18.2,0,0,5.5,5.8,99.99,N,0,N,0,0,7,6,6,7,N,8,12,8,9.4,3,4,N,0,9,8,38,1,18.2,820,24,N  ,N  ,N  ,,,,66,3,69,2020,,,               ,0,N,2,,0,0,1957,8,7,0,0,0,0,,Y,5,20,2038,,Y,73,F,6,105.56
0,0,,        ,#N/A,48.21215,-121.9331306,0,1,0,53,        1WA0043,1,6,8,0,0,0,61,34208,'JIM CREEK',,'BLUE MOUNTAIN ROAD','NAVRADSTA OSO  WA',99.99,0,0,,,48124374,121555927,10,3,73,73,9,1949,1,0,20,2018,0,3.7,0,0,0,0,0,0,0,5,N,0,0,R,1,5,2,6,2,4,1,2,3.7,22.9,30.2,0,0,3.7,4.1,99.99,N,0,N,0,0,5,6,7,8,N,0,36.2,0,32.6,6,4,N,5,7,8,38,1,30.2,820,24,N  ,N  ,N  ,,,,23,63,86,2020,,,               ,0,N,3,,0,0,0,1,1,0,0,8,0,1,Y,5,25,2041,,Y,73,F,5,123.82
1,0,,        ,#N/A,47.56759167,-122.5517028,0,0,0,53,        1WA0150,1,6,8,0,0,0,35,7695,'PATROL RD. & BEACH DRIVE',,'FUEL STORAGE FACIL','620 M SE OF NEVADA ST. E',99.99,0,0,,,47340333,122330613,0,3,73,73,9,1954,1,3,20,2016,2,4.1,0,0,0,0,0,0,0,5,N,0,0,P,1,1,3,2,1,1,3,2,3.7,13.1,36.3,0,0,3.7,4.1,99.99,H,4.26,H,6.6,6.6,6,7,6,N,N,1,34,1,20.3,5,4,4,5,N,8,,,10,820,24,Y24,N  ,N  ,820,,,18,42,60,2020,,,               ,2,N,3,,0,0,0,1,1,0,0,2,0,1,Y,N,24,2037,0,Y,73,F,6,148.83
1,0,,        ,#N/A,47.769275,-122.707925,0,1,0,53,        1WA7811,1,8,0,0,0,0,35,4105,'CATTAIL LAKE DAM',,'AMBERJACK AVENUE','.32KM SE OF N BOUNDRY RD',99.99,0,0,,,47460939,122422853,7,3,73,73,9,2012,2,0,20,2014,A,9.8,0,0,0,1,1,1,1,5,N,0,0,A,1,5,5,4,0,0,1,0,9.8,29,30.8,0,0,9.8,10.7,99.99,N,0,N,0,0,7,8,8,8,N,8,45.4,8,34.7,8,8,N,5,8,6,38,1,0,820,24,N  ,N  ,N  ,,,,0,2,2,2020,,,               ,0,N,2,,0,0,0,2,6,N,N,0,0,,Y,5,25,2037,0,Y,73,G,7,329.56
1,1,,      1W,#N/A,48.29745556,-122.6078139,0,1,0,53,      1WA203360,1,6,8,0,0,0,29,78155,'DRAINAGE BASIN',,'E. PIONEER WAY','EAST OF OAK HARBOR',99.99,0,0,,,48175084,122362813,0,3,73,73,9,2006,1,0,30,2016,5,3.9,0,0,0,0,0,0,0,5,0,0,0,A,5,9,3,10,0,0,1,0,4.2,36.6,36.6,0.3,0.3,4.2,6,99.99,N,0,N,0,0,7,7,6,5,N,2,46.7,2,32.9,6,5,N,5,7,6,38,1,36.6,820,24,N  ,N  ,N  ,,,,8,27,35,2020,,,               ,0,N,3,,0,0,0,3,0,0,0,10,0,1,Y,5,35,2038,,Y,73,F,6,219.6
1,1,,00000000,#N/A,47.25279444,-124.178075,0,1,0,53,00000000000P001,1,6,1,26,0,0,27,46405,'NORTH FORK MOCLIPS RIVER',,'IRR BIA RTE 26','3.2 KM N.E. OF MOCLIPS',99.99,4,0,0,0,47151006,124104107,2,3,62,62,7,1976,2,0,375,2021,5,9.8,0,15,0,1,0,0,1,5,N,0,0,A,1,5,5,2,0,0,2,0,9.8,29.7,61,0,0,9.8,10.8,99.99,N,0,N,0,0,7,7,7,5,N,0,36.2,0,32.6,7,7,N,5,8,6,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,1,1,0,0,15,0,,Y,8,409,2040,0,Y,62,G,7,658.8
1,1,,00000000,#N/A,47.24963889,-124.1740556,0,1,0,53,00000000000P002,1,6,1,2,0,0,27,46405,'MOCLIPS RIVER',,'IRR BIA RTE 2','3 KM NE OF MOCLIPS',99.99,0.5,0,0,0,47145870,124102660,3,3,62,62,9,1965,2,0,8,2021,5,7.3,0,30,0,0,0,0,0,5,N,0,0,A,1,5,1,2,0,0,4,0,7.3,7.6,30.7,0.7,0.7,7.4,8.8,99.99,N,0,N,0,0,6,7,6,5,N,0,36.2,0,32.6,6,6,N,5,7,8,,,0,921,24,N  ,N  ,N  ,,,,0,0,0,2021,,0,               ,0,N,2,,0,1,0,1,1,0,0,0,0,,Y,8,10,2040,0,Y,62,F,6,270.16
