Database Ref #,Structure ID,Feature Intersected,Support Type,No. of Columns/Piles per Bent,B_long (in.),B_trans (in.),Clear Height (ft),"Long Reinf Ratio, %",Spacing/Pitch (in),Transverse Reinforcement Ratio
1,0019133A,Overpass,RectCol-Spiral,4,54,54,19.2,0.015500,6,0.007700
2,0019133D,Overpass,RectCol-Spiral,2,48,48,24.6,0.014000,4,0.009600
3,0005943A,Overpass,Wall,1,21,816,17.3,0.008480,24,Wall
4,0005943B,Overpass,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span
5,0005523A,Overpass,Wall,1,21,408,19.1,0.003320,24,Wall
6,0005523B,Water,PC Piles,11,13,13,Extended Pile/Column,PC Piles,PC Piles,PC Piles
7,0005582A,Overpass,CircCol,4,36,36,34.4,0.012300,12,0.002000
8,0005523C,Overpass,CircCol,1,60,60,18,0.009900,12,0.001100
9,0005651A,Overpass,CircCol,1,72,72,25.2,0.009200,12,0.001000
10,0009574A,Ramp,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span
11,0005667A,Underpass,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span
12,0005667B,Underpass,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span
13,0005667C,Overpass,Wall,1,21,774,19,0.008460,24,Wall
14,0005723A,Overpass,Wall,1,21,916,21.7,0.002650,20,Wall
15,0013207A,Ramp,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span
16,0005831A,Overpass,CircCol,6,32,32,25.7,0.028150,12,0.001200
17,0015935A,Overpass,RectCol-Spiral,6,63,39,29.8,0.015000,3,0.007900
18,Not in BEISt,Not in BEISt,CircCol,Not in BEISt,36,36,24.9,0.010800,Not in BEISt,Not in BEISt
19,0017594A,Ramp,RectCol-Spiral,1,96,96,47.5,0.019000,3,0.011200
20,0018818A,Underpass,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span,Single Span
21,Not in BEISt,Not in BEISt,CircCol,Not in BEISt,36,36,21,0.012500,12,0.002000
22,0018189B,Overpass,RectCol-Spiral,1,72,72,20.3,0.012600,5,0.005000
23,0017594C,Ramp,RectCol-Spiral,1,72,72,30.3,0.016100,3,0.008400
24,0017594B,Ramp,RectCol-Spiral,2,60,60,26.6,0.010800,3,0.010100
25,0006088B,Underpass,RectCol,10,30,41,12.7,0.014500,12,0.001100
26,0016958A,Underpass,CircCol,4,42,42,16.9,0.011500,4,0.007800
27,0016958B,Overpass,RectCol-Spiral,4,54.7,60.2,21.8,0.051700,3,0.011100
28,0016958C,Overpass,RectCol,4,55,60,23.7,0.036800,4,0.007900
29,0007505E,Ramp,CircCol,1,60,60,18.6,0.025500,12,0.001100
30,0007326C,Ramp,CircCol,1,60,60,22.1,0.031100,12,0.001100
31,0007326D,Ramp,CircCol,1,60,60,20.7,0.010500,12,0.001100
32,0007326B,Underpass,OblongCol,1,36,180,46.4,0.010240,12,OblongCol
33,0018607C,Underpass,OblongCol,1,36,180,45.4,0.010240,12,OblongCol
34,0007505C,Ramp,CircCol,1,60,60,27.9,0.012100,12,0.001100
35,0019157B,Overpass,RectCol-Spiral,2,48,48,38.6,0.015400,6,0.006400
