iter	Passed	Remaining
0	20	14092
1	39	13863
2	63	14785
3	88	15453
4	108	15142
5	134	15530
6	157	15583
7	180	15575
8	208	15969
9	233	16093
10	256	16039
11	278	15954
12	302	15990
13	325	15926
14	347	15850
15	370	15827
16	391	15718
17	414	15695
18	436	15631
19	458	15581
20	478	15487
21	499	15400
22	520	15318
23	543	15309
24	564	15239
25	586	15191
26	606	15111
27	626	15032
28	648	15013
29	668	14936
30	688	14863
31	708	14793
32	732	14813
33	753	14764
34	775	14741
35	796	14688
36	818	14666
37	839	14623
38	862	14624
39	884	14598
40	905	14549
41	925	14503
42	947	14481
43	968	14433
44	992	14441
45	1014	14428
46	1038	14426
47	1064	14462
48	1089	14480
49	1112	14464
50	1137	14472
51	1161	14477
52	1184	14460
53	1203	14395
54	1227	14400
55	1251	14390
56	1275	14386
57	1299	14379
58	1321	14352
59	1343	14335
60	1367	14324
61	1390	14304
62	1416	14320
63	1444	14357
64	1475	14415
65	1499	14401
66	1520	14369
67	1544	14352
68	1567	14336
69	1592	14330
70	1617	14330
71	1640	14306
72	1663	14283
73	1685	14257
74	1703	14192
75	1723	14146
76	1743	14107
77	1763	14065
78	1784	14027
79	1805	13990
80	1825	13953
81	1846	13919
82	1866	13876
83	1886	13835
84	1908	13810
85	1928	13772
86	1948	13730
87	1968	13691
88	1989	13659
89	2015	13657
90	2036	13628
91	2060	13614
92	2082	13592
93	2103	13561
94	2126	13543
95	2136	13442
96	2159	13425
97	2181	13400
98	2202	13372
99	2225	13352
100	2245	13320
101	2269	13306
102	2287	13259
103	2310	13240
104	2331	13211
105	2352	13182
106	2376	13169
107	2399	13151
108	2422	13134
109	2446	13121
110	2474	13131
111	2497	13109
112	2517	13079
113	2541	13066
114	2562	13035
115	2582	13001
116	2604	12979
117	2624	12946
118	2646	12922
119	2666	12889
120	2687	12862
121	2710	12840
122	2731	12813
123	2756	12803
124	2777	12777
125	2799	12752
126	2822	12734
127	2844	12713
128	2868	12698
129	2891	12676
130	2913	12656
131	2938	12645
132	2964	12637
133	2992	12640
134	3018	12634
135	3046	12635
136	3075	12639
137	3102	12635
138	3125	12614
139	3147	12588
140	3170	12568
